Date,Open,High,Low,Close,Adj close*,Volume
10-May-16,183.51,186.15,182.63,189.5,185.37,"1,38,45,979"
11-May-16,181.36,184.39,180.08,185,180.97,"1,81,28,414"
12-May-16,183.02,185.37,181.36,188.5,184.39,"1,73,98,341"
13-May-16,183.85,183.85,180.28,184.85,180.82,"1,55,46,644"
16-May-16,180.97,180.97,171.33,176.8,172.94,"3,09,37,008"
17-May-16,174.61,174.7,171.43,176.85,172.99,"2,21,83,140"
18-May-16,173.04,176.51,169.76,179.95,176.03,"2,53,45,278"
19-May-16,177.05,177.05,168.15,172.7,168.93,"2,54,80,517"
20-May-16,169.72,170.89,166.83,171.35,167.61,"1,67,20,624"
23-May-16,168.54,168.93,164.53,168.4,164.73,"1,61,93,112"
24-May-16,165.12,166.68,162.77,169.5,165.8,"1,48,16,798"
25-May-16,167.76,171.97,167.71,175.1,171.28,"1,89,00,887"
26-May-16,171.28,181.45,169.72,184.15,180.13,"3,07,00,988"
27-May-16,179.99,197.99,177.54,195.9,191.63,"8,55,85,820"
30-May-16,195.83,199.45,190.36,198.85,194.51,"4,60,75,949"
31-May-16,194.46,201.21,191.92,204.95,200.48,"3,94,57,647"
01-Jun-16,201.46,203.76,192.31,198.25,193.93,"4,18,68,032"
02-Jun-16,193.53,197.89,191.28,200.55,196.18,"2,34,99,884"
03-Jun-16,199.2,200.34,193.65,196.6,194.84,"2,45,68,749"
06-Jun-16,195.68,200.78,195.33,198.9,197.12,"2,36,23,536"
07-Jun-16,198.65,209.26,198.36,210.15,208.27,"6,60,63,192"
08-Jun-16,208.27,210,205.69,210.7,208.81,"3,51,63,093"
09-Jun-16,208.12,210.89,206.43,209.95,208.07,"2,78,58,182"
10-Jun-16,207.47,209.6,203.46,205.95,204.1,"2,55,98,224"
13-Jun-16,199.69,200.78,198.41,201.8,199.99,"2,11,92,525"
14-Jun-16,202.52,206.73,201.97,207.7,205.84,"2,39,18,910"
15-Jun-16,207.87,215.6,206.68,216.05,214.11,"4,83,62,742"
16-Jun-16,214.06,216.54,211.14,216,214.06,"4,81,22,379"
17-Jun-16,214.81,215.55,209.7,213.45,211.54,"2,64,86,677"
20-Jun-16,206.14,214.76,206.04,215.9,213.96,"3,26,33,757"
21-Jun-16,213.07,215.55,211.24,214,212.08,"1,89,60,306"
22-Jun-16,212.08,213.32,209.55,212.9,210.99,"1,63,95,548"
23-Jun-16,211.09,216.05,210.84,217.55,215.6,"2,06,66,649"
24-Jun-16,204.05,210.45,200.69,211.25,209.36,"4,72,24,652"
27-Jun-16,208.91,216.89,208.66,217.15,215.2,"2,90,21,651"
28-Jun-16,214.81,216.69,213.47,215.9,213.96,"2,17,84,062"
29-Jun-16,215.95,216.84,214.16,217.2,215.25,"1,80,19,568"
30-Jun-16,218.03,219.91,215.95,218.8,216.84,"3,06,00,995"
01-Jul-16,218.82,219.02,216.94,219.6,217.63,"1,53,46,865"
04-Jul-16,220.36,222.34,220.01,223,221,"1,65,34,518"
